DATE,APP,CATEGORY,DAU Real,MAU Real,Stickiness Real,preds_dau,preds_mau,Stickiness Preds
2021-10-04 00:00:00,iFood Delivery de Comida,FOOD_AND_DRINK,3765332,24099530,0.1562408893451449,4031248,23662209,0.1703665114275679
2021-10-04 00:00:00,Inter: conta digital completa,FINANCE,2481401,8117587,0.30568209493781834,2211039,8455352,0.2614957957989212
2021-10-04 00:00:00,"James Delivery: Entrega de Mercado, Farmácia e +",FOOD_AND_DRINK,17393,188105,0.09246431514313815,17498,194854,0.08980056863087235
2021-10-04 00:00:00,Loja C&A: Comprar roupa e mais,SHOPPING,334008,2485126,0.1344028431556388,267812,2560116,0.1046093223900792
2021-10-04 00:00:00,Lojas Marisa: Roupas e Sapatos,SHOPPING,294544,1977893,0.14891806584077097,251128,1821869,0.13784086561657288
2021-10-04 00:00:00,Lojas Renner - Comprar Roupas,SHOPPING,879312,4630144,0.18991029220689465,759520,4478427,0.16959526190780824
2021-10-04 00:00:00,McDonald’s: Cupons e Delivery,FOOD_AND_DRINK,439336,6036674,0.07277782434499527,424221,5942617,0.07138622596744834
2021-10-04 00:00:00,Mercado Livre: Compras Online,SHOPPING,18003462,70404746,0.255713755433476,16784729,63678011,0.26358752003105124
2021-10-04 00:00:00,Netshoes: Loja de Esportes,SHOPPING,559859,3800165,0.14732491878642112,486924,3819171,0.12749468405578068
2021-10-04 00:00:00,Noverde: empréstimo em até 24h,FINANCE,19075,247809,0.07697460544209452,19520,259627,0.075184784325205
2021-10-04 00:00:00,"Original - Pix, Digital, Cashback e Empréstimos",FINANCE,446801,1684504,0.2652418753532197,410508,1658290,0.2475489811794077
2021-10-04 00:00:00,Seguros Unimed: Faça cotação,HEALTH_AND_FITNESS,12471,98275,0.1268990078860341,10832,94413,0.11472996303475157
2021-10-04 00:00:00,Sub Viagens: passagens aéreas,TRAVEL_AND_LOCAL,2851,37020,0.07701242571582928,4104,64410,0.06371681415929203
2021-10-04 00:00:00,Ultragaz: Pedir botijão de gás,SHOPPING,35146,212691,0.16524441560761857,19922,269439,0.07393881360901726
2021-10-04 00:00:00,Unimed Odonto - Plano Dental,HEALTH_AND_FITNESS,3476,36269,0.09583942209600485,2899,40051,0.07238271204214626
2021-10-04 00:00:00,Webmotors: comprar seminovos,OTHERS,126441,717049,0.17633522953103622,108630,674118,0.16114389468906037
2021-10-04 00:00:00,Zattini: Loja de Roupas Online,SHOPPING,173484,1216743,0.14258064357058145,163554,1229364,0.13303952287524282
2021-10-05 00:00:00,99 Food: Entrega de Comida,FOOD_AND_DRINK,108357,1092048,0.09922366049843963,106901,1092539,0.09784639266882006
2021-10-05 00:00:00,99: Carro particular e Taxi,OTHERS,4433062,25681227,0.1726187771324166,4279157,25150945,0.17013901465730213
2021-10-05 00:00:00,abastece-aí: cashback no posto,OTHERS,170456,1417115,0.12028381606291656,195852,1421953,0.13773451021236285
2021-10-05 00:00:00,Asaas: Receba por Boleto e Pix,OTHERS,13711,73560,0.1863920609026645,11556,56155,0.20578755231056897
2021-10-05 00:00:00,Cartão de crédito Atacadão,FINANCE,390231,1951887,0.19992499565804783,329107,1815165,0.18130968809997988
2021-10-05 00:00:00,Cartão de crédito Carrefour,FINANCE,485391,2368417,0.20494321734728302,399931,2322841,0.17217321374988645
2021-10-05 00:00:00,Casas Bahia: Comprar Online,SHOPPING,1069935,9420274,0.11357790654496887,1133923,9162725,0.12375390508827887
2021-10-05 00:00:00,Catho: oportunidades e emprego,OTHERS,50934,272613,0.18683628440316494,49100,261746,0.1875864387612418
2021-10-05 00:00:00,"Centauro: Loja de roupas, tênis, chuteira, calçado",SHOPPING,214119,1700752,0.1258966621823758,213539,1732170,0.12327831563876525
2021-10-05 00:00:00,Destinos CVC: pacotes e hotéis,TRAVEL_AND_LOCAL,10776,160724,0.06704661407132724,12488,228894,0.05455800501542198
2021-10-05 00:00:00,Época Cosméticos e Maquiagens,SHOPPING,31016,303736,0.10211499460057419,27292,300503,0.09082105669494148
2021-10-05 00:00:00,Extra: Loja Online e Ofertas,SHOPPING,248534,2878942,0.0863282414164648,257248,2925649,0.08792852457694002
2021-10-05 00:00:00,"Hurb: Hotéis, Resorts e Pacotes de Viagem",TRAVEL_AND_LOCAL,121374,991684,0.1223918102944083,114372,916259,0.12482496761286929
2021-10-05 00:00:00,iFood Delivery de Comida,FOOD_AND_DRINK,3578398,23987409,0.14917817926896565,4036113,23670134,0.17051500426655802
2021-10-05 00:00:00,Inter: conta digital completa,FINANCE,2499819,8158595,0.30640312455759844,2202991,8314551,0.2649560992529843
2021-10-05 00:00:00,"James Delivery: Entrega de Mercado, Farmácia e +",FOOD_AND_DRINK,16279,187002,0.08705254489256799,17757,195922,0.09063300701299497
2021-10-05 00:00:00,Loja C&A: Comprar roupa e mais,SHOPPING,306142,2513254,0.12181100676652658,270696,2529714,0.10700656279721739
2021-10-05 00:00:00,Lojas Marisa: Roupas e Sapatos,SHOPPING,268959,1972755,0.136336747340648,257610,1817659,0.14172625338416062
2021-10-05 00:00:00,Lojas Renner - Comprar Roupas,SHOPPING,832669,4649351,0.1790935982247845,760673,4523223,0.16817057217828968
2021-10-05 00:00:00,McDonald’s: Cupons e Delivery,FOOD_AND_DRINK,406556,6018558,0.06755039994629942,443042,5927743,0.07474041975166602
2021-10-05 00:00:00,Mercado Livre: Compras Online,SHOPPING,17813792,70439815,0.25289379309130783,16840217,64067518,0.26285109093815684
2021-10-05 00:00:00,Netshoes: Loja de Esportes,SHOPPING,523447,3803806,0.1376113818633232,621666,3880195,0.16021514382653448
2021-10-05 00:00:00,Noverde: empréstimo em até 24h,FINANCE,19026,248098,0.07668743802852099,18771,260027,0.07218865733173863
2021-10-05 00:00:00,"Original - Pix, Digital, Cashback e Empréstimos",FINANCE,436012,1700851,0.2563493216043028,385678,1689103,0.2283330264643423
2021-10-05 00:00:00,Seguros Unimed: Faça cotação,HEALTH_AND_FITNESS,11438,99416,0.11505190311418685,11395,96061,0.1186225419264842
2021-10-05 00:00:00,Ultragaz: Pedir botijão de gás,SHOPPING,26846,219794,0.12214164171906422,22065,280166,0.07875687984980333
2021-10-05 00:00:00,ViajaNet: Passagens Aéreas,TRAVEL_AND_LOCAL,6979,52723,0.13237107144889326,5998,54711,0.10963060444883113
2021-10-05 00:00:00,Webmotors: comprar seminovos,OTHERS,104548,716988,0.14581555060893628,108723,682670,0.1592614293875518
2021-10-05 00:00:00,Zattini: Loja de Roupas Online,SHOPPING,164071,1214459,0.13509801483623574,158195,1235597,0.1280312270101012
2021-10-06 00:00:00,99 Food: Entrega de Comida,FOOD_AND_DRINK,112992,1091437,0.10352590209054668,109356,1090196,0.1003085683675229
2021-10-06 00:00:00,99: Carro particular e Taxi,OTHERS,4453222,25668899,0.17348706697548655,4239326,24899031,0.1702606820321642
2021-10-06 00:00:00,abastece-aí: cashback no posto,OTHERS,188644,1413116,0.13349505631526357,190497,1416988,0.1344379768918297
2021-10-06 00:00:00,Asaas: Receba por Boleto e Pix,OTHERS,13688,73792,0.18549436253252385,11985,56551,0.2119325918197733
2021-10-06 00:00:00,Cartão de crédito Atacadão,FINANCE,390395,1952144,0.19998268570351369,316020,1851986,0.17063843895148234
2021-10-06 00:00:00,Cartão de crédito Carrefour,FINANCE,496728,2366539,0.20989639300260846,407931,2306149,0.1768883970636763
2021-10-06 00:00:00,Casas Bahia: Comprar Online,SHOPPING,1170371,9417313,0.12427865570571987,1136791,9165252,0.12403270526549624
2021-10-06 00:00:00,Catho: oportunidades e emprego,OTHERS,43111,272674,0.15810454975538554,44588,263664,0.16910916924570665
2021-10-06 00:00:00,"Centauro: Loja de roupas, tênis, chuteira, calçado",SHOPPING,211806,1699062,0.12466054799648277,208174,1742044,0.11949985189811509
2021-10-06 00:00:00,Destinos CVC: pacotes e hotéis,TRAVEL_AND_LOCAL,10230,160356,0.06379555489036894,11480,222607,0.05157070532373196
2021-10-06 00:00:00,Época Cosméticos e Maquiagens,SHOPPING,34262,304320,0.11258543638275499,25555,294165,0.08687301344483538
2021-10-06 00:00:00,Extra: Loja Online e Ofertas,SHOPPING,245402,2875527,0.08534157390975637,256041,2911600,0.08793824701195219
2021-10-06 00:00:00,"Hurb: Hotéis, Resorts e Pacotes de Viagem",TRAVEL_AND_LOCAL,97554,990600,0.09847970926711085,107672,964844,0.1115952423396943
2021-10-06 00:00:00,iFood Delivery de Comida,FOOD_AND_DRINK,3787817,24000016,0.1578256031162646,3891537,23744911,0.1638893066392205
2021-10-06 00:00:00,Inter: conta digital completa,FINANCE,2533265,8171119,0.31002669279446304,2268924,8426544,0.2692591411140795
2021-10-06 00:00:00,"James Delivery: Entrega de Mercado, Farmácia e +",FOOD_AND_DRINK,17872,187401,0.09536768747231872,17619,194774,0.09045868545083019
2021-10-06 00:00:00,Loja C&A: Comprar roupa e mais,SHOPPING,290373,2537521,0.11443176233812449,268249,2452529,0.10937648443708514
2021-10-06 00:00:00,Lojas Marisa: Roupas e Sapatos,SHOPPING,271660,1965587,0.13820807728174841,257166,1826948,0.14076262706984544
2021-10-06 00:00:00,Lojas Renner - Comprar Roupas,SHOPPING,828656,4666016,0.17759390452154472,765446,4539222,0.16862933780282172
2021-10-06 00:00:00,McDonald’s: Cupons e Delivery,FOOD_AND_DRINK,421863,6030271,0.06995755248810542,443240,5910844,0.07498759906368702
2021-10-06 00:00:00,Mercado Livre: Compras Online,SHOPPING,17625817,70441907,0.2502177716455064,16717982,64612607,0.2587417963184801
2021-10-06 00:00:00,Netshoes: Loja de Esportes,SHOPPING,519063,3805767,0.13638853876235724,483239,3821507,0.12645247019042488
2021-10-06 00:00:00,Noverde: empréstimo em até 24h,FINANCE,19175,246293,0.07785442542012969,19251,264486,0.07278646128717588
2021-10-06 00:00:00,"Original - Pix, Digital, Cashback e Empréstimos",FINANCE,431735,1706562,0.2529852416730245,396220,1689837,0.2344723189278019
2021-10-06 00:00:00,pede.ai: delivery de comidas,FOOD_AND_DRINK,20633,159812,0.129107951843416,20235,163762,0.12356346405148935
2021-10-06 00:00:00,Seguros Unimed: Faça cotação,HEALTH_AND_FITNESS,11056,99401,0.11122624520880071,11298,97161,0.11628122394788032
2021-10-06 00:00:00,Sub Viagens: passagens aéreas,TRAVEL_AND_LOCAL,2354,37133,0.06339374680203592,3030,60681,0.04993325752706778
2021-10-06 00:00:00,Ultragaz: Pedir botijão de gás,SHOPPING,26235,225949,0.11611027267215168,39368,360112,0.10932154440840627
2021-10-06 00:00:00,Webmotors: comprar seminovos,OTHERS,100524,716364,0.14032530947953833,106904,685136,0.15603325471147333
2021-10-06 00:00:00,Zattini: Loja de Roupas Online,SHOPPING,161295,1213704,0.13289484091673093,164106,1232954,0.1330998561179087
2021-10-07 00:00:00,99 Food: Entrega de Comida,FOOD_AND_DRINK,113383,1087981,0.10421413609245014,114411,1090695,0.10489733610221005
2021-10-07 00:00:00,99: Carro particular e Taxi,OTHERS,4668711,25685638,0.18176348198942927,4373140,25588348,0.17090356907761298
2021-10-07 00:00:00,abastece-aí: cashback no posto,OTHERS,189952,1404608,0.1352348840388208,198929,1425279,0.1395719715227685
2021-10-07 00:00:00,Asaas: Receba por Boleto e Pix,OTHERS,13294,73782,0.18017944756173593,11801,57636,0.20475050315774862
2021-10-07 00:00:00,Cartão de crédito Atacadão,FINANCE,382170,1950334,0.19595105248639463,304242,1840516,0.16530255645699357
2021-10-07 00:00:00,Cartão de crédito Carrefour,FINANCE,466950,2364109,0.1975162735728344,408237,2306985,0.17695693730128284
2021-10-07 00:00:00,Casas Bahia: Comprar Online,SHOPPING,1210418,9411564,0.12860965510089503,1210926,9215434,0.1314019502499828
2021-10-07 00:00:00,Catho: oportunidades e emprego,OTHERS,47050,272627,0.17258011862361394,42668,260374,0.16387196878336546
2021-10-07 00:00:00,"Centauro: Loja de roupas, tênis, chuteira, calçado",SHOPPING,219627,1701064,0.1291115443040356,248100,1740987,0.14250537195280608
2021-10-07 00:00:00,Destinos CVC: pacotes e hotéis,TRAVEL_AND_LOCAL,9238,159717,0.05783980415359667,11564,233216,0.04958493413830955
2021-10-07 00:00:00,Época Cosméticos e Maquiagens,SHOPPING,30880,303505,0.10174461705737961,24871,290764,0.08553672394106561
2021-10-07 00:00:00,Extra: Loja Online e Ofertas,SHOPPING,246762,2874927,0.08583244026717896,259538,2903777,0.08937945303651072
2021-10-07 00:00:00,"Hurb: Hotéis, Resorts e Pacotes de Viagem",TRAVEL_AND_LOCAL,106875,989196,0.10804228888915847,112908,964123,0.11710953892812431
2021-10-07 00:00:00,iFood Delivery de Comida,FOOD_AND_DRINK,3740035,24019423,0.15570877785032555,4008256,23769200,0.1686323477441395
2021-10-07 00:00:00,Inter: conta digital completa,FINANCE,2467793,8171366,0.3020049524155447,2265643,8386737,0.2701459459143645
2021-10-07 00:00:00,"James Delivery: Entrega de Mercado, Farmácia e +",FOOD_AND_DRINK,26087,190184,0.137167164430236,17907,194871,0.0918915590313592
2021-10-07 00:00:00,Loja C&A: Comprar roupa e mais,SHOPPING,287481,2564666,0.11209295869325675,264891,2412882,0.10978199514108025
2021-10-07 00:00:00,Lojas Marisa: Roupas e Sapatos,SHOPPING,274000,1958922,0.13987284843398562,256114,1853748,0.13816009511540944
2021-10-07 00:00:00,Lojas Renner - Comprar Roupas,SHOPPING,830660,4691635,0.17705128382749297,755261,4568723,0.16531118213995463
2021-10-07 00:00:00,McDonald’s: Cupons e Delivery,FOOD_AND_DRINK,457245,6045162,0.07563817148324561,465193,5914623,0.07865133585014632
2021-10-07 00:00:00,Mercado Livre: Compras Online,SHOPPING,17361491,70464073,0.24638784363203076,16819815,63715137,0.2639846007079919
2021-10-07 00:00:00,Netshoes: Loja de Esportes,SHOPPING,550350,3824833,0.14388863513779557,629681,3979844,0.15821750802292753
2021-10-07 00:00:00,Noverde: empréstimo em até 24h,FINANCE,16795,241623,0.06950911130149035,18526,260351,0.07115778314659825
2021-10-07 00:00:00,"Original - Pix, Digital, Cashback e Empréstimos",FINANCE,421300,1709590,0.24643335536590644,417243,1730747,0.24107682983128095
2021-10-07 00:00:00,pede.ai: delivery de comidas,FOOD_AND_DRINK,20318,160034,0.12696052088931103,20834,163231,0.12763506931894064
2021-10-07 00:00:00,Seguros Unimed: Faça cotação,HEALTH_AND_FITNESS,10190,99361,0.10255532854943086,11554,97820,0.1181149049274177
2021-10-07 00:00:00,Sub Viagens: passagens aéreas,TRAVEL_AND_LOCAL,2094,36964,0.05664971323449843,3160,57115,0.05532697189880067
2021-10-07 00:00:00,Ultragaz: Pedir botijão de gás,SHOPPING,28673,231864,0.1236630093503088,19657,361910,0.05431460860434915
2021-10-07 00:00:00,Unimed Odonto - Plano Dental,HEALTH_AND_FITNESS,2828,36923,0.07659182623297132,2908,40248,0.07225203736831644
2021-10-07 00:00:00,Webmotors: comprar seminovos,OTHERS,100724,713248,0.1412187626183319,103320,667676,0.15474571498750891
2021-10-07 00:00:00,Zattini: Loja de Roupas Online,SHOPPING,160063,1213881,0.13186053657648483,171362,1243528,0.1378030892750304
2021-10-08 00:00:00,99 Food: Entrega de Comida,FOOD_AND_DRINK,124925,1088398,0.11477878496652878,109187,1090939,0.10008533932694678
2021-10-08 00:00:00,99: Carro particular e Taxi,OTHERS,5154459,25705941,0.20051625419975871,4094161,25653061,0.1595973673473119
2021-10-08 00:00:00,abastece-aí: cashback no posto,OTHERS,236334,1410743,0.16752448886863164,197372,1427677,0.1382469564194142
2021-10-08 00:00:00,Asaas: Receba por Boleto e Pix,OTHERS,13164,73722,0.178562708553756,11387,58504,0.19463626418706415
2021-10-08 00:00:00,Cartão de crédito Atacadão,FINANCE,346004,1948756,0.17755121728938872,334164,1868184,0.1788710319754371
